avenida,esquina 1,esquina 2, coordenadas
Sarmiento,Requena,Rambla,-34.9153690 -56.1683580
Rambla,Morales,Jackson,-34.9144940 -56.1739940
Rambla,Errazquin,Sarmiento,-34.9165860 -56.1689890
Rambla,Montero,Solano Garcia,-34.9228610 -56.1521920
Bv Espana,Ellauri,Benito Blanco,-34.9148970 -56.1504000
Av Brasil,Ellauri,Benito Blanco,-34.9133890 -56.1500440
Benito Blanco,21 de Setiembre,Bv Espana,-34.9158280 -56.1499000
Bv Espana,Rambla,Benito Blanco,-34.9151190 -56.1490440
Rambla,Montero,Bv Espana,-34.9164170 -56.1489420
Rambla,L A de Herrera,Buxareo,-34.9096000 -56.1409440
26 de Marzo,Bonavita,Tezanos,-34.9052580 -56.1341530
Rambla,L A de Herrera,26 de Marzo,-34.9063330 -56.1330780
Rambla,Pereyra,Paiva,-34.9049580 -56.1284640
Solano Lopez,Rivera,Rambla,-34.8974000 -56.1202890
Rambla,Batlle y Ordonez,Solano Lopez,-34.8988720 -56.1210190
Rambla,Hipolito Yrigoyen,9 de Junio,-34.8959560 -56.1095220
Rambla,Arrascaeta,Hipolito Yrigoyen,-34.8959190 -56.1094470
Rambla,Gral Paz,Gallinal,-34.8951720 -56.0891580
L A de Herrera,Placido Ellauri,26 de Marzo,-34.9051760 -56.1371270
Benito Blanco,Buxareo,Julio Cesar,-34.9069560 -56.1402810
L A de Herrera,Rambla,26 de Marzo,-34.9061910 -56.1366980
26 de Marzo,Rambla,L A de Herrera,-34.9053250 -56.1347610
Albo,8 de Octubre,Av Italia,-34.8913670 -56.1589570
Centenario,Jaime Cibils,Av Italia,-34.8906340 -56.1553650
Ricaldoni,Ponce,Av Italia,-34.8927990 -56.1588190
Ricaldoni,Alfredo Navarro,Av Italia,-34.8917940 -56.1546990
Av Italia,Avelino Miranda,Albo,-34.8925570 -56.1597330
Av Italia,L A de Herrera,Las Heras,-34.8896560 -56.1496120
Batlle y Ordonez,Malbajar,Av Italia,-34.8858830 -56.1389180
Comercio,8 de Octubre,Av Italia,-34.8861700 -56.1309660
L A de Herrera,Rep Dominicana,Av Italia,-34.8883790 -56.1478440
Batlle y Ordonez,Ramon Anador,Av Italia,-34.8874730 -56.1368200
Solano Lopez,Rivera,Av Italia,-34.8875120 -56.1291070
Av Italia,Las Heras,L A de Herrera,-34.8892740 -56.1484410
Av Italia,Mataojo,Solano Lopez,-34.8867920 -56.1290750
Hipolito Yrigoyen,Igua,Av Italia,-34.8859660 -56.1105760
Hipolito Yrigoyen,Rivera,Av Italia,-34.8879270 -56.1100280
Av Italia,Solano Lopez,Mataojo,-34.8871170 -56.1227750
Av Italia,Gallinal,Hipolito Yrigoyen,-34.8866960 -56.1092440
Av Italia,Hipolito Yrigoyen,Gallinal,-34.8860280 -56.1005430
Av Italia,Bolivia,Zum Felde,-34.8846750 -56.0945730
Bolivia,Cno Carrasco,Av Italia,-34.8823420 -56.0835770
Bolivia,Rivera,Av Italia,-34.8842180 -56.0829560
Av Italia,Zum Felde,Bolivia,-34.8833630 -56.0850060
Av Italia,Cooper,Bolonia,-34.8808270 -56.0771120
Ponce,Rivera,Bv Artigas,-34.9047130 -56.1628280
Av Brasil,Brito del Pino,Bv Artigas,-34.9060970 -56.1627180
Rivera,Ponce,Bv Artigas,-34.9028290 -56.1649440
Bv Espana,Libertad,Bv Artigas,-34.9112490 -56.1620910
21 de setiembre,Sarmiento,Bv Artigas,-34.9132840 -56.1623770
Rodo,Requena,Bv Artigas,-34.9028290 -56.1649440
Canelones,Acevedo Diaz,Bv Artigas,-34.9067350 -56.1644270
21 de setiembre,Bv Espana,Bv Artigas,-34.9123630 -56.1640990
Bv Artigas,Bv Espana,Canelones,-34.9074430 -56.1635610
Bv Artigas,Sosa,21 de setiembre,-34.9138600 -56.1627150
Bv Artigas,Palmar,Rivera,-34.9023930 -56.1633510
Bv Artigas,Ponce,Canelones,-34.9061210 -56.1637290
Avelino Miranda,8 de Octubre,Bv Artigas,-34.8930830 -56.1644270
Acevedo Diaz,Garibaldi,Ferrer Serra,-34.8941520 -56.1674980
Miguelete,Justicia,Bv Artigas,-34.8918650 -56.1664020
Daniel Munoz,Martin C Martinez,Acevedo Diaz,-34.8959460 -56.1680140
Victor Haedo,Paullier,Acevedo Diaz,-34.8961090 -56.1679130
Bv Artigas,Canning,Av Italia,-34.8959630 -56.1648180
Bv Artigas,Palmar,Canaro,-34.8995940 -56.1644210
Av Italia,Avelino Miranda,Bv Artigas,-34.8944780 -56.1638570
Bv Artigas,Hocquart,Miguelete,-34.8909430 -56.1655600
Bv Artigas,Goes,Av Italia,-34.8932840 -56.1651440
Nueva Palmira,Monte Caseros,Bv Artigas,-34.8880090 -56.1651990
Hocquart,Justicia,Bv Artigas,-34.8889960 -56.1667950
Bv Artigas,Hocquart,Nueva Palmira,-34.8895330 -56.1655230
Garibaldi,Monte Caseros,Bv Artigas,-34.8855000 -56.1647890
Bv Artigas,Colorado,Caribes,-34.8809820 -56.1665110
Bv Artigas,Colorado,Caraguata,-34.8773350 -56.1667060
Bv Artigas,L A de Herrera,Gallinal,-34.8719600 -56.1674900
Varela,Batlle y Ordonez,L A de Herrera,-34.8699930 -56.1659740
L A de Herrera,Setembrino Pereda,Varela S,-34.8691250 -56.1663180
Bv Artigas,Gallinal,L A de Herrera,-34.8704060 -56.1674480
Aramburu,Terra,Gral Flores,-34.8827900 -56.1818900
Amezaga,Arenal Grande,Gral Flores,-34.8862200 -56.1837200
Gral Flores,Av de las Leyes,Yatay,-34.8893500 -56.1864400
Gral Flores,Blandengues,Aramburu,-34.8829200 -56.1828400
Gral Flores,Aramburu,Blandengues,-34.8831800 -56.1829800
Garibaldi,Pando,Gral Flores,-34.8760800 -56.1803900
Gral Flores,Gallinal,Garibaldi,-34.8756700 -56.1789800
L A de Herrera,Gualeguay,Gral Flores,-34.8676300 -56.1708400
L A de Herrera,Gral San Martin,Gral Flores,-34.8664400 -56.1726200
Bv Artigas,Penco,Gral Flores,-34.8704100 -56.1753800
Gral Flores,Gallinal,Bv Artigas,-34.8711000 -56.1751800
Gral Flores,Quesada,L A de Herrera,-34.8660700 -56.1711800
Garibaldi,Urquiza,8 de Octubre,-34.8888700 -56.1608500
L A de Herrera,Francisco Simon,Asilo,-34.8832100 -56.1515200
Garibaldi,Centenario,8 de Octubre,-34.8898100 -56.1592800
L A de Herrera,Monte Caseros,Joanico,-34.8806500 -56.1540400
Larranaga,Monte Caseros,Joanico,-34.8797600 -56.1524800
Centenario,Cibils,L A de Herrera,-34.8834900 -56.1523200
Batlle y Ordonez,Joanico,8 de Octubre,-34.8789600 -56.1483000
Battle y Ordonez,Cabrera,8 de Octubre,-34.8797700 -56.1472200
8 de octubre,Cibils,Mariano Moreno,-34.8836500 -56.1552600
8 de Octubre,Avelino Miranda,Presidente Berro,-34.8924600 -56.1626900
8 de octubre,Mariano Moreno,Cibils,-34.8841100 -56.1557200
Joanico,Bv Batlle y Ordonez,Larranaga,-34.8801500 -56.1514900
8 de Octubre,Sanguinetti,Batlle y Ordonez,-34.8786600 -56.1471400
Comercio,Joanico,8 de Octubre,-34.8757500 -56.1434400
